id,country,lat,lon,1994,2004,2014
1,Algeria,28.033886,1.659626,2,3,6
2,Angola,-11.202692,17.873887,1,1,3
3,Benin,9.30769,2.315834,3,3,7
4,Botswana,-22.328474,24.684866,0,5,7
5,Burkina Faso,12.238333,-1.561593,3,5,7
6,Burundi,-3.373056,29.918886,2,2,4
7,Cameroon,7.369722,12.354722,3,3,4
8,Cape Verde,16.002082,-24.013197,0,3,3
9,Comoros,-11.875001,43.872219,0,1,5
10,Central African Republic,6.611111,20.939444,3,3,4
11,Chad,15.454166,18.732207,3,3,3
12,Congo [Republic],-0.228021,15.827659,4,5,5
13,Congo [DRC],-4.038333,21.758664,3,4,4
14,Djibouti,11.825138,42.590275,0,3,3
15,Egypt,26.820553,30.802498,3,3,4
16,Equatorial Guinea,1.650801,10.267895,0,3,3
17,Eritrea,15.179384,39.782334,0,2,2
18,Ethiopia,9.145,40.489673,0,2,3
19,Gabon,-0.803689,11.609444,3,5,7
20,Gambia,13.443182,-15.310139,3,3,4
21,Ghana,7.946527,-1.023194,3,4,6
22,Guinea-Bissau,11.803749,-15.180413,2,2,4
23,Guinea,9.945587,-9.696645,3,6,7
24,Ivory Coast,7.539989,-5.54708,3,4,4
25,Kenya,-0.023559,37.906193,3,5,6
26,Lesotho,-29.609988,28.233608,4,4,6
27,Liberia,6.428055,-9.429499,3,3,5
28,Libya,26.3351,17.228331,3,3,3
29,Madagascar,-18.766947,46.869107,3,3,7
30,Malawi,-13.254308,34.301525,3,4,5
31,Mali,17.570692,-3.996166,3,5,6
32,Mauritania,21.00789,-10.940835,3,3,3
33,Mauritius,-20.348404,57.552152,3,4,5
34,Morocco,31.791702,-7.09262,3,3,6
35,Mozambique,-18.665695,35.529562,0,2,4
36,Namibia,-22.95764,18.49041,2,4,5
37,Niger,17.607789,8.081666,4,5,6
38,Nigeria,9.081999,8.675277,3,4,4
39,Rwanda,-1.940278,29.873888,2,2,4
40,Sao Tome and Principe,0.18636,6.613081,1,3,4
41,Senegal,14.497401,-14.452362,2,4,5
42,Seychelles,-4.679574,55.491977,0,2,4
43,Sierra Leone,8.460555,-11.779889,1,3,3
44,Somalia,5.152149,46.199616,2,2,2
45,South Africa,-30.559482,22.937506,3,3,3
46,South Sudan,7.352131,7.352131,0,0,0
47,Sudan,12.862807,30.217636,2,3,4
48,Swaziland,-26.522503,31.465866,2,2,3
49,Tanzania,-6.369028,34.888822,1,2,2
50,Togo,8.619543,0.824782,2,5,6
51,Tunisia,33.886917,9.537499,1,2,2
52,Uganda,1.373333,32.290275,3,4,5
53,Zambia,-13.133897,27.849332,3,3,4
54,Zimbabwe,-19.015438,29.154857,2,2,3
